timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1572310127.087,85.449,55.664,43.457,62.988,8.301,0
1572310127.091,23.438,55.664,43.457,32.715,46.875,0
1572310127.095,-116.699,54.688,42.969,0.000,93.262,0
1572310127.099,-78.613,53.223,45.410,26.855,75.195,0
1572310127.103,66.895,53.223,46.387,55.664,-2.930,0
1572310127.107,61.035,53.711,44.922,43.457,9.766,0
1572310127.111,-83.496,54.199,46.875,12.207,44.922,0
1572310127.114,-111.816,53.711,49.316,15.137,-10.254,0
1572310127.118,26.367,52.246,49.316,48.340,27.832,0
1572310127.122,84.961,52.246,46.875,55.176,27.344,0
1572310127.126,-42.480,55.176,48.340,25.391,27.344,0
1572310127.130,-132.324,57.129,51.270,7.812,61.523,0
1572310127.148,-6.348,56.641,50.293,50.293,8.301,0
1572310127.152,88.379,56.641,51.270,64.941,-26.367,0
1572310127.156,-6.836,58.105,49.805,36.621,21.484,0
1572310127.160,-125.977,58.594,50.293,8.301,102.539,0
1572310127.164,-37.109,56.641,51.758,39.062,67.871,0
1572310127.168,88.867,58.594,52.246,67.383,30.273,0
1572310127.172,38.086,62.012,52.246,51.270,-10.254,0
1572310127.175,-104.004,59.082,49.316,10.254,5.371,0
1572310127.179,-75.684,60.059,45.898,28.320,55.176,0
1572310127.183,67.871,60.547,44.434,62.012,0.488,0
1572310127.187,67.871,59.082,44.434,55.176,-3.418,0
1572310127.191,-78.613,63.965,44.434,14.160,51.758,0
1572310127.191,-115.234,63.477,44.434,12.695,36.621,0
1572310127.195,24.902,59.082,46.387,54.688,20.020,0
1572310127.199,81.543,57.617,47.363,52.246,-29.785,0
1572310127.203,-43.457,57.617,46.387,20.020,-35.645,0
1572310127.207,-134.766,59.570,46.387,0.977,39.062,0
1572310127.211,-13.184,60.547,46.875,42.969,72.754,0
1572310127.215,94.238,62.012,46.875,58.105,46.875,0
1572310127.218,9.277,62.988,45.898,31.250,17.578,0
1572310127.222,-121.582,63.477,47.852,1.465,58.594,0
1572310127.226,-47.852,62.500,46.387,30.273,76.172,0
1572310127.230,80.078,61.523,42.969,53.711,24.414,0
1572310127.234,41.992,61.035,41.504,43.457,56.641,0
1572310127.227,-102.051,58.594,41.504,8.789,51.758,0
1572310127.231,-98.145,56.152,42.969,18.066,4.883,0
1572310127.235,45.410,56.641,45.898,57.129,41.016,0
1572310127.239,73.242,57.617,47.363,57.129,49.316,0
1572310127.243,-54.199,55.664,45.410,27.832,23.926,0
1572310127.247,-104.980,55.664,42.480,24.902,7.324,0
1572310127.251,19.043,56.641,46.875,57.617,17.090,0
1572310127.254,86.426,56.152,51.758,54.199,26.855,0
1572310127.258,-27.344,58.594,47.363,24.414,23.438,0
1572310127.262,-130.371,59.082,45.898,11.230,-7.812,0
1572310127.266,-23.438,58.105,47.363,44.922,12.207,0
1572310127.270,83.496,58.594,48.340,58.105,55.176,0
1572310127.287,13.184,59.570,46.875,36.621,31.738,0
1572310127.291,-116.699,60.059,46.875,4.883,47.852,0
