timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1583500882.003,52.734,27.344,26.855,10.254,60.059,0
1583500882.007,60.059,24.414,24.902,10.254,-8.301,0
1583500882.011,63.477,27.832,25.391,7.324,19.531,0
1583500882.015,66.895,28.320,24.902,3.418,69.336,0
1583500882.019,69.824,29.785,25.391,8.789,49.805,0
1583500882.023,68.848,31.738,26.367,11.719,25.879,0
1583500882.026,67.383,32.715,26.855,11.230,32.227,0
1583500882.030,61.523,35.645,28.809,5.859,79.102,0
1583500882.034,46.387,33.691,27.344,4.883,78.125,0
1583500882.038,28.809,32.715,27.832,12.695,60.547,0
1583500882.042,24.414,39.062,33.691,9.277,2.930,0
1583500882.046,17.578,37.598,29.785,-0.488,32.715,0
1583500882.044,0.977,32.715,27.344,-2.441,79.102,0
1583500882.048,-9.766,32.227,33.691,4.883,76.172,0
1583500882.052,-17.578,31.738,32.715,10.742,90.332,0
1583500882.056,-25.391,32.227,31.250,5.371,66.406,0
1583500882.060,-36.133,30.762,34.180,4.883,51.270,0
1583500882.064,-36.133,32.715,32.715,7.812,50.781,0
1583500882.067,-35.156,35.156,26.855,8.301,3.418,0
1583500882.071,-43.945,33.203,25.879,7.324,-2.441,0
1583500882.075,-41.992,33.691,31.738,3.418,25.391,0
1583500882.079,-33.691,35.645,29.297,3.906,30.762,0
1583500882.083,-27.832,36.133,27.832,10.254,31.738,0
1583500882.087,-23.438,37.598,32.715,10.254,-35.156,0
1583500882.103,-18.555,35.156,25.879,0.977,-5.859,0
1583500882.107,-6.348,32.715,23.438,1.465,89.844,0
1583500882.111,-9.277,27.832,25.391,6.836,62.988,0
1583500882.115,-20.020,25.391,24.414,0.488,56.152,0
1583500882.119,-21.484,31.738,25.391,-6.348,33.203,0
1583500882.123,-20.996,33.691,24.902,1.465,36.621,0
1583500882.126,-22.461,33.203,26.367,11.230,61.523,0
1583500882.130,-22.461,33.691,27.344,9.277,61.523,0
1583500882.134,-15.625,32.227,25.879,0.977,52.734,0
1583500882.138,-11.719,34.180,27.832,0.977,37.598,0
1583500882.142,-8.789,36.621,28.809,13.672,8.301,0
1583500882.146,-7.324,38.574,32.227,21.484,-45.898,0
1583500882.143,-5.859,36.621,33.203,13.672,-40.039,0
1583500882.147,-5.371,35.156,32.227,7.324,29.785,0
1583500882.151,-11.230,33.691,33.691,7.812,34.180,0
1583500882.155,-15.625,27.832,30.762,9.766,20.996,0
1583500882.159,-18.555,26.367,33.203,11.230,54.688,0
1583500882.163,-22.949,28.320,34.668,7.812,57.129,0
1583500882.166,-25.879,26.855,32.715,2.441,31.250,0
1583500882.170,-27.832,26.367,29.785,6.348,5.859,0
1583500882.174,-34.180,25.879,29.785,9.277,41.016,0
1583500882.178,-34.668,23.438,30.762,5.859,77.637,0
1583500882.182,-31.250,26.855,30.762,1.953,58.105,0
1583500882.186,-35.156,28.320,28.809,0.488,62.012,0
1583500882.183,-28.809,26.367,26.367,8.789,81.055,0
1583500882.187,-15.625,27.832,29.297,11.719,48.340,0
1583500882.191,-10.254,29.297,27.344,7.324,34.668,0
1583500882.195,-7.324,24.902,24.414,7.324,71.777,0
1583500882.199,0.977,21.973,26.855,7.812,53.711,0
1583500882.203,8.301,22.949,30.762,9.766,44.922,0
1583500882.206,3.418,20.508,32.227,9.277,25.879,0
1583500882.210,-1.465,17.090,29.297,12.695,35.645,0
1583500882.214,-1.465,16.602,30.273,16.113,100.098,0
1583500882.218,-4.395,15.625,31.250,5.859,49.805,0
1583500882.222,-4.395,13.184,27.344,6.836,60.547,0
1583500882.226,4.395,12.695,24.902,8.301,45.898,0
1583500882.243,18.555,14.648,25.879,13.672,-15.137,0
1583500882.247,21.973,16.602,28.809,18.066,-6.836,0
1583500882.251,18.066,13.672,25.391,3.418,17.578,0
1583500882.255,13.184,11.230,24.414,0.977,73.242,0
1583500882.259,3.906,12.695,25.391,10.254,104.492,0
1583500882.263,-8.301,14.648,27.344,14.160,40.039,0
1583500882.266,-18.066,13.184,32.715,13.184,27.344,0
1583500882.270,-27.344,12.695,35.156,4.883,-13.672,0
1583500882.274,-38.086,13.184,29.785,8.789,-32.227,0
1583500882.278,-30.273,13.672,28.320,18.066,17.578,0
1583500882.282,-4.883,13.672,31.250,14.648,25.879,0
1583500882.286,12.695,15.137,35.156,9.766,4.395,0
1583500882.284,20.508,16.602,35.645,7.324,17.090,0
1583500882.288,31.738,12.695,32.715,8.301,62.500,0
1583500882.292,39.551,13.184,32.715,9.766,66.895,0
1583500882.296,38.574,16.602,33.691,5.859,36.133,0
1583500882.300,28.809,13.672,30.762,-0.488,16.113,0
1583500882.304,20.508,9.766,28.320,-1.465,-11.230,0
1583500882.307,14.648,9.277,28.320,4.395,23.926,0
1583500882.311,4.883,7.812,26.367,-0.488,16.113,0
1583500882.315,-5.859,5.371,24.414,-6.836,-8.789,0
1583500882.319,-9.766,9.277,26.367,5.859,56.152,0
1583500882.323,-7.324,13.672,28.809,11.719,31.250,0
1583500882.327,-9.766,8.301,24.902,3.906,12.207,0
1583500882.323,-5.859,3.906,22.949,1.465,4.395,0
1583500882.327,-0.488,3.418,21.973,5.371,-43.457,0
1583500882.331,6.348,2.930,23.438,14.160,-31.250,0
1583500882.335,16.113,0.000,24.902,13.184,-2.930,0
1583500882.339,16.113,-10.254,20.508,0.488,-3.906,0
1583500882.343,19.043,-12.695,23.926,-1.953,-8.301,0
1583500882.346,19.531,-9.766,24.414,4.395,3.418,0
1583500882.350,17.578,-8.301,21.484,1.465,-19.531,0
1583500882.354,22.461,-6.348,22.949,-7.812,3.418,0
1583500882.358,20.020,-7.812,19.531,-13.672,39.062,0
1583500882.362,14.648,-9.766,14.160,-10.742,28.320,0
1583500882.366,17.090,-7.812,17.578,-4.395,-17.578,0
1583500882.383,20.020,-7.812,20.996,-5.859,-3.418,0
