,image_type,oddball,mark,rts,resps
0,1,0,0,NA,NA
1,0,1,3,NA,NA
2,1,0,0,NA,NA
3,0,0,2,NA,NA
4,0,0,2,NA,NA
5,0,0,2,NA,NA
6,0,0,2,NA,NA
7,1,0,0,NA,NA
8,0,0,2,NA,NA
9,0,0,2,NA,NA
10,1,0,0,NA,NA
11,0,0,2,NA,NA
12,1,0,0,NA,NA
13,1,0,0,NA,NA
14,1,0,0,NA,NA
15,0,0,2,NA,NA
16,0,0,2,NA,NA
17,1,0,0,NA,NA
18,0,0,2,NA,NA
19,1,0,0,NA,NA
20,0,0,2,NA,NA
21,0,0,2,NA,NA
22,1,0,0,NA,NA
23,1,0,0,NA,NA
24,1,0,0,NA,NA
25,0,0,2,NA,NA
26,0,0,2,NA,NA
27,1,0,0,NA,NA
28,1,0,0,NA,NA
29,0,1,3,NA,NA
30,0,0,2,NA,NA
31,1,1,1,NA,NA
32,0,0,2,NA,NA
33,0,0,2,NA,NA
34,1,0,0,NA,NA
35,0,0,2,NA,NA
36,0,0,2,NA,NA
37,1,0,0,NA,NA
38,1,0,0,NA,NA
39,1,0,0,NA,NA
40,1,0,0,NA,NA
41,1,0,0,NA,NA
42,0,0,2,NA,NA
43,0,0,2,NA,NA
44,1,1,1,NA,NA
45,1,0,0,NA,NA
46,0,0,2,NA,NA
47,0,0,2,NA,NA
48,1,0,0,NA,NA
