,image_type,mark,oddball,rts,resps
0,1,0,0,NA,NA
1,1,1,1,NA,NA
2,1,0,0,NA,NA
3,0,2,0,0.600216099998045,m
4,0,2,0,0.4007340000012505,m
5,1,0,0,0.3670848999987357,z
6,0,2,0,0.500507499997529,m
7,0,2,0,0.43415110000352075,m
8,1,0,0,0.45006439999863446,z
9,1,0,0,0.2841888999992619,z
10,0,2,0,0.40014669999724095,m
11,0,2,0,0.3507029000009456,m
12,1,0,0,0.36687479999807393,z
13,1,0,0,0.3503468000031793,z
14,1,0,0,0.3502606000014188,z
15,0,2,0,0.333912299999942,z
16,1,1,1,0.333717099997596,z
17,1,0,0,0.4170005999979507,m
18,1,0,0,0.4010794000013602,z
19,1,0,0,0.3672577999994515,z
20,0,3,1,0.36711430000321865,m
21,1,0,0,0.3510849999975574,z
22,1,1,1,0.5505637999988229,z
23,0,2,0,0.4011783999984768,m
24,1,0,0,0.2507549999997112,z
25,1,1,1,0.38395310000171956,z
26,0,2,0,0.45057579999901876,m
27,1,0,0,0.43229779999637796,z
28,1,0,0,0.416265700002598,z
29,0,3,1,0.3676207999987229,m
30,1,1,1,0.4013298999982413,z
31,1,1,1,0.3168996000024644,z
32,0,2,0,0.33373690000004763,m
33,0,2,0,0.2506343999986007,z
34,0,2,0,0.3854279999987418,m
35,0,2,0,0.38464920000274905,m
36,0,2,0,0.33545460000099236,m
37,1,0,0,0.5484884000001968,z
38,0,2,0,0.40028020000294284,m
39,0,2,0,0.5167813000023707,m
40,1,0,0,0.45037160000130605,z
41,1,0,0,0.4002967000015165,z
42,1,0,0,0.40047609999787226,z
43,1,0,0,0.3838333999975938,z
44,0,2,0,0.46639739999901053,m
45,1,0,0,0.468251000002484,z
46,1,0,0,0.4345503000003026,z
47,0,2,0,0.4840584000016863,z
48,1,0,0,0.40063929999786496,z
49,0,2,0,0.4832139999987912,m
50,1,0,0,0.41697399999845564,z
51,1,0,0,0.4669575000003374,z
52,0,2,0,0.4504651000029911,m
53,0,2,0,0.5499211000018962,m
54,1,0,0,0.4521728000016787,z
55,0,3,1,0.4335763999994626,m
56,1,0,0,0.7162766999995702,z
57,1,0,0,0.4007174999987111,m
58,1,0,0,0.40018349999870173,z
59,0,2,0,0.33352210000184535,m
60,1,0,0,0.3670901999985776,z
61,0,3,1,0.3839576999995593,m
62,1,0,0,0.5003580000005714,z
63,1,0,0,0.5047539000009784,z
64,1,1,1,0.41724799999704554,z
65,0,2,0,0.4837823000026291,m
66,1,0,0,0.4174394999986659,z
67,1,0,0,0.40052540000058734,m
68,0,3,1,0.3336309000012576,m
69,0,2,0,0.38370949999642834,m
70,1,0,0,0.36702189999736046,z
71,1,1,1,0.33679310000460183,z
72,0,2,0,0.3505052999999645,m
73,1,0,0,0.36689200000341793,z
