,image_type,oddball,mark,rts,resps
0,0,0,2,NA,NA
1,0,0,2,0.5001567999969796,m
2,0,0,2,0.48377580000064757,m
3,0,0,2,0.41685420000045736,m
4,1,0,0,0.465071099999101,z
5,1,0,0,0.33369749999833087,z
6,1,0,0,0.4009598000014192,z
7,1,0,0,0.3839212999982291,z
8,0,0,2,0.5190661999991821,m
9,0,0,2,0.433652399999783,m
10,0,0,2,0.4337391000024755,m
11,1,0,0,0.4670121000022034,z
12,1,0,0,0.4501757000007174,z
13,0,0,2,0.5519324000027237,m
14,0,0,2,0.4845155999992883,m
15,1,0,0,0.5509307999988822,z
16,0,0,2,0.601870100001026,m
17,1,0,0,0.43487339999983887,z
18,0,0,2,0.567912700000881,m
19,0,0,2,0.45057930000111845,m
20,1,0,0,0.45193479999843356,z
21,1,0,0,0.4341225999980607,z
22,1,0,0,0.38417430000074115,z
23,0,0,2,0.5183693000017222,m
24,1,0,0,0.482548999999042,z
25,0,0,2,0.501556900004273,m
26,0,0,2,0.4503831999975314,m
27,1,1,1,0.46736390000100214,z
28,1,0,0,0.7185154000008105,z
29,1,0,0,0.3848439000000321,z
30,1,0,0,0.38487010000406596,z
31,0,0,2,0.4503245999997203,m
32,1,0,0,0.4671740000010809,m
33,0,0,2,0.4671295999965275,m
34,1,1,1,0.7000895999986516,z
35,1,0,0,0.667403699998101,z
36,1,0,0,0.38383700000174836,z
37,0,0,2,0.46704570000089185,m
38,0,0,2,0.43650460000025726,m
39,1,0,0,0.4350040999987028,z
40,1,0,0,0.48440490000377734,z
41,0,0,2,0.4011932999997696,m
42,0,1,3,0.467907100000591,m
43,0,0,2,0.6005841999969936,m
44,1,1,1,0.4007993999985835,z
45,1,1,1,0.4172889000014641,z
46,1,0,0,0.6168733999976668,z
47,1,0,0,0.48349730000141333,z
48,0,1,3,0.43396429999881003,m
49,0,0,2,0.48373190000063704,m
50,0,0,2,0.4669105000005156,m
51,0,1,3,0.6168916000007156,m
52,1,0,0,0.4678922999981192,z
53,0,0,2,0.46788759999905927,m
54,0,0,2,0.4506276000010343,m
55,0,0,2,0.4330704000011074,m
56,0,0,2,0.4342888000009415,m
57,1,1,1,0.4839161999997712,z
58,1,0,0,0.5340013000001,m
59,1,0,0,0.6003496000016395,z
60,1,0,0,0.3670891000011105,z
61,1,1,1,0.4836116999967177,z
62,0,1,3,0.5498624000005523,m
63,0,0,2,0.5503479000015603,m
64,1,0,0,0.41702000000093586,z
65,1,0,0,0.46711210000414316,z
66,0,0,2,0.5002622000044725,m
67,1,0,0,0.5337638999992891,z
68,1,0,0,0.43387360000042285,z
69,1,1,1,0.6152393000013991,z
70,1,1,1,0.4673110000020313,z
71,1,0,0,0.433746700001749,z
72,1,0,0,0.33417689999974387,z
73,1,0,0,0.30245260000093754,z
