,image_type,oddball,mark,rts,resps
0,1,0,0,NA,NA
1,1,0,0,NA,NA
2,1,0,0,NA,NA
3,1,0,0,NA,NA
4,0,0,2,NA,NA
5,1,0,0,NA,NA
6,1,1,1,NA,NA
7,0,0,2,NA,NA
8,1,0,0,NA,NA
9,1,0,0,NA,NA
10,1,0,0,NA,NA
11,1,0,0,NA,NA
12,1,0,0,NA,NA
13,0,1,3,NA,NA
14,1,0,0,NA,NA
15,1,0,0,NA,NA
16,1,0,0,NA,NA
17,1,0,0,NA,NA
18,0,0,2,NA,NA
19,0,0,2,NA,NA
20,1,0,0,NA,NA
21,1,0,0,NA,NA
22,0,0,2,NA,NA
23,1,0,0,NA,NA
24,1,0,0,NA,NA
25,0,0,2,NA,NA
26,0,0,2,NA,NA
27,1,0,0,NA,NA
28,1,1,1,NA,NA
29,0,0,2,NA,NA
30,0,0,2,NA,NA
31,0,0,2,NA,NA
32,0,0,2,NA,NA
33,0,0,2,NA,NA
34,1,0,0,NA,NA
35,0,1,3,NA,NA
36,1,0,0,NA,NA
37,0,0,2,NA,NA
38,0,0,2,NA,NA
39,1,0,0,NA,NA
40,0,1,3,NA,NA
41,1,0,0,NA,NA
42,1,0,0,NA,NA
43,1,0,0,NA,NA
44,1,0,0,NA,NA
45,0,0,2,NA,NA
46,1,0,0,NA,NA
47,0,1,3,NA,NA
48,1,0,0,NA,NA
49,1,0,0,NA,NA
50,1,0,0,NA,NA
51,1,1,1,NA,NA
52,0,0,2,NA,NA
53,1,1,1,NA,NA
54,1,0,0,NA,NA
55,1,0,0,NA,NA
56,0,0,2,NA,NA
57,0,0,2,NA,NA
58,1,0,0,NA,NA
59,0,0,2,NA,NA
60,0,1,3,NA,NA
61,0,0,2,NA,NA
62,1,0,0,NA,NA
63,0,1,3,NA,NA
64,0,1,3,NA,NA
65,0,0,2,NA,NA
66,1,0,0,NA,NA
67,0,0,2,NA,NA
68,1,0,0,NA,NA
69,0,0,2,NA,NA
70,1,0,0,NA,NA
71,0,1,3,NA,NA
72,0,0,2,NA,NA
73,1,0,0,NA,NA
